g_val	t_val	c_val	l_val	s_val
1.7422	1.6919	1.5395	1.4664	1.6557
1.3473	1.3140	1.2244	1.2608	1.4007
1.1705	1.0924	1.2242	1.2981	1.5121
1.9834	1.9025	1.8164	1.9553	2.0906
1.4941	1.5237	1.4959	1.5344	1.6519
1.2059	1.2281	1.1691	1.1946	1.2597
1.3575	1.4039	1.3099	1.4287	1.5483
1.1518	1.0839	1.1221	1.2181	1.3533
0.7036	0.8325	0.8454	1.3013	1.3054
1.4171	1.3017	1.3612	1.4375	1.6735
0.6501	0.6322	0.7680	1.0758	1.2006
1.1616	1.0928	1.1707	1.4954	1.8204
0.8189	0.6969	0.8406	1.0952	1.2649
1.4477	1.2756	1.2902	1.3843	1.5638
1.2622	1.1992	1.2130	1.2912	1.4325
1.6917	1.7747	1.6141	1.3450	1.4940
1.8610	1.9050	1.7185	1.7393	1.7900
1.4903	1.3523	1.3282	1.3831	1.5295
1.6010	1.4920	1.4735	1.8153	1.9299
0.7029	0.6099	0.7482	1.0700	1.2078
1.3622	1.2666	1.2994	1.1875	1.2265
1.1954	1.1977	1.1376	1.3952	1.6426
1.6417	1.3882	1.4939	1.5180	1.6559
1.7131	1.5525	1.4914	1.6323	1.7647
1.0669	1.0520	1.0400	1.1695	1.4209
1.5381	1.4440	1.3792	1.7104	1.7974
1.2330	1.1028	1.1291	1.3453	1.5663
1.2297	1.2198	1.1297	1.4087	1.5541
1.0010	0.9644	1.0735	1.3614	1.4859
1.3877	1.2657	1.3386	1.4648	1.6863
1.4626	1.3586	1.3346	1.5152	1.7292
0.4098	0.2605	0.4489	0.8407	1.0315
1.5343	1.5201	1.4301	1.7471	1.8696
1.0893	0.8984	1.0269	1.0813	1.2380
1.4596	1.4427	1.4205	1.5108	1.6166
1.6398	1.6061	1.4146	1.6160	1.8771
1.1912	1.1921	1.1606	1.3515	1.4741
1.3382	1.2419	1.2518	1.3055	1.4257
1.3783	1.2215	1.2784	1.5667	1.6269
0.9664	0.9632	0.9729	0.9990	0.9957
1.3754	1.3008	1.3098	1.5325	1.7524
1.0730	1.0046	1.0143	1.3140	1.4211
0.7634	0.6624	0.8321	1.0803	1.1833
1.1255	1.0816	1.2034	1.5579	1.6731
1.8667	1.9545	1.7472	1.7234	1.8527
1.4899	1.6046	1.4106	1.4823	1.5628
0.9912	0.9618	0.9795	1.1474	1.2597
1.1746	1.1266	1.0785	1.2600	1.4262
1.3852	1.3744	1.3486	1.4267	1.4706
1.0815	1.2353	1.1019	1.1610	1.2086
1.3299	0.9394	1.1288	1.1001	1.1238
1.4618	1.3602	1.2915	1.4874	1.6428
0.9037	0.8640	0.8923	1.3780	1.5556
1.7235	1.5822	1.4751	1.5472	1.6887
1.2202	1.2908	1.2748	1.4081	1.5576
1.3370	1.2419	1.3246	1.2499	1.2489
1.2081	1.1250	1.1620	1.5091	1.6490
1.3386	1.2415	1.2802	1.4922	1.7538
1.2784	1.3761	1.3219	1.4371	1.5562
1.3566	1.1584	1.2536	1.3105	1.4135
1.4442	1.4271	1.4816	1.6038	1.6456
1.7543	1.8551	1.6383	1.6316	1.7472
0.7767	0.7763	0.8893	1.4312	1.6238
1.8770	1.7669	1.5664	1.3263	1.3818
1.4533	1.4122	1.3252	1.5087	1.7089
0.4060	0.3546	0.4620	1.1797	1.5334
1.3546	1.1844	1.1666	1.1765	1.3184
1.5993	1.6868	1.4422	1.4615	1.5193
1.1379	1.1199	1.1020	1.3536	1.5113
1.2002	1.1271	1.1751	1.3856	1.6426
0.4350	0.3942	0.5295	1.0092	1.1805
1.8779	1.7895	1.7076	1.6859	1.7621
1.9273	1.6865	1.5714	1.5634	1.6802
0.6320	0.5638	0.6592	1.1063	1.2223
1.5386	1.6965	1.5752	1.8765	2.1469
1.6391	1.4287	1.4517	1.4838	1.6601
1.3334	1.4029	1.2558	1.3375	1.4692
1.1405	1.1275	1.2307	1.3796	1.4179
1.2667	1.2199	1.2544	1.1650	1.2603
1.2266	1.1586	1.1389	1.4039	1.5456
0.8049	0.8527	0.8165	0.9308	1.0389
1.0544	0.8854	1.0375	1.1323	1.2941
1.4260	1.3893	1.3847	1.5949	1.7901
1.2799	1.2237	1.2287	1.1774	1.3395
1.3750	1.0862	1.2464	1.4635	1.5889
1.9840	1.8956	1.7244	1.6958	1.8686
0.7411	0.7225	0.7480	1.1365	1.3107
0.7453	0.4827	0.7514	1.0329	1.2448
1.5251	1.5790	1.4766	1.6144	1.7817
1.2119	1.2384	1.1674	1.3816	1.5320
0.4306	0.5512	0.5921	1.0425	1.1484
1.2938	1.2103	1.1737	1.6210	1.7707
0.7410	0.7285	0.8179	1.0163	1.1477
1.3712	1.3458	1.2536	1.3058	1.4690
1.3034	1.1808	1.1453	1.1922	1.4012
1.8900	1.6052	1.5720	1.5659	1.6777
0.9993	0.9498	0.9446	1.0079	1.1603
1.7538	1.6942	1.5461	1.4325	1.5419
1.0853	0.9028	1.1305	1.1522	1.2826
1.0625	1.0927	1.1536	1.4098	1.5029
1.7124	1.7877	1.5533	1.5254	1.7114
1.2177	1.2837	1.2620	1.1922	1.3104
1.5502	1.5569	1.4000	1.7079	1.8594
1.7625	1.5100	1.5366	1.6333	1.7521
