tag	g_val	t_val	c_val	l_val	s_val
-1	1.434623	1.530469	1.255538	1.086599	1.000472
1	1.596184	1.652487	1.568796	1.677582	1.751926
1	0.516354	0.397094	0.615451	1.042784	1.190967
-1	1.652117	1.903897	1.449921	1.307271	1.291576
1	1.220564	0.990948	1.020007	1.057304	1.158484
-1	1.621979	1.769599	1.386862	1.190995	1.136240
-1	1.982982	2.074834	1.697002	1.416506	1.358491
-1	1.155539	1.379462	1.025670	0.982762	0.824694
1	1.344596	1.421137	1.332914	1.323842	1.487435
-1	1.333178	1.497984	1.326288	1.529372	1.394991
1	1.044486	1.040468	1.109419	1.249367	1.355408
1	1.730552	1.784603	1.540420	1.571755	1.729178
1	1.884186	1.596374	1.541773	1.525236	1.669062
-1	1.422071	1.522037	1.297517	1.107840	1.011798
-1	1.639537	1.810231	1.439851	1.111198	0.935123
1	0.615567	0.542771	0.725063	1.237334	1.377877
1	0.945829	0.792418	0.927261	1.074100	1.121611
1	1.514275	1.492240	1.319809	1.579340	1.692532
1	1.129965	1.239137	1.207221	1.505491	1.581537
-1	1.150322	1.319947	0.998381	1.248195	1.044888
1	1.165787	1.149042	1.237277	1.551442	1.550100
1	1.341512	1.462980	1.361053	1.250118	1.385753
1	1.788044	1.654694	1.628271	1.573390	1.746690
-1	1.464270	1.912825	1.274668	1.175480	1.106096
1	1.400644	1.245133	1.275842	1.351470	1.473142
1	1.627853	1.745786	1.666724	2.001875	2.093286
1	1.176082	1.251771	1.137963	1.300470	1.413087
1	1.592388	1.740253	1.592465	1.755647	1.873576
-1	1.404173	1.546772	1.287859	1.242161	1.216443
-1	1.121432	1.338794	1.094582	0.871343	0.769318
-1	1.525496	1.638075	1.281298	1.150255	1.045391
-1	1.204042	1.494117	1.242876	1.204267	1.040791
1	2.056795	1.939746	1.835108	1.754365	1.875833
-1	1.492916	1.742800	1.238715	1.037524	0.915907
-1	1.839235	1.877739	1.536440	1.056148	0.937611
1	0.988761	0.801556	0.983055	1.044337	1.184474
1	1.075305	1.111926	1.134055	1.597165	1.729592
-1	1.389431	1.892753	1.384559	1.286478	1.101442
-1	2.206933	2.412334	1.896372	1.058137	0.863816
-1	1.330939	1.529319	1.186362	1.058238	0.972431
-1	1.753843	1.954382	1.552603	1.054900	0.911936
1	1.435879	1.399626	1.343199	1.265011	1.340628
-1	1.068628	1.326171	0.985723	1.081140	1.003212
1	1.462121	1.311942	1.363196	1.335922	1.524679
1	1.309286	1.429968	1.444988	1.858281	1.927915
1	1.288422	1.219160	1.204695	1.140202	1.289455
1	1.504251	1.536739	1.415569	1.592211	1.692362
1	1.825233	1.621021	1.597026	1.386789	1.545215
1	0.349873	0.389439	0.523708	0.963447	1.190506
1	1.545969	1.427975	1.346821	1.469744	1.685508
-1	1.109191	1.515167	1.011739	0.986359	0.817704
-1	1.450032	1.688688	1.206464	1.224324	1.062990
1	1.150344	1.100168	1.106614	1.241649	1.320458
1	0.912871	0.900667	0.922868	1.144214	1.261185
1	1.583016	1.475248	1.413502	1.311767	1.531349
1	1.402687	1.349958	1.391647	1.289451	1.457532
1	1.742203	1.691929	1.539467	1.466410	1.655654
1	1.347287	1.313987	1.224444	1.260774	1.400665
1	1.170482	1.092415	1.224188	1.298052	1.512109
1	1.983399	1.902495	1.816372	1.955254	2.090561
1	1.494072	1.523683	1.495943	1.534364	1.651883
-1	0.668780	0.696942	0.461756	0.739258	0.634424
1	1.205890	1.228051	1.169065	1.194636	1.259705
-1	1.676384	1.905169	1.520656	1.169515	1.033262
