epoch	loss
806	5.624905568597348e-02
807	5.624905440950671e-02
808	5.624905314890453e-02
809	5.624905190396498e-02
810	5.624905067448872e-02
811	5.624904946027904e-02
812	5.624904826114169e-02
813	5.624904707688503e-02
814	5.624904590731997e-02
815	5.624904475225971e-02
816	5.624904361152007e-02
817	5.624904248491913e-02
818	5.624904137227735e-02
819	5.624904027341764e-02
820	5.624903918816508e-02
821	5.624903811634707e-02
822	5.624903705779324e-02
823	5.624903601233550e-02
824	5.624903497980781e-02
825	5.624903396004636e-02
826	5.624903295288954e-02
827	5.624903195817767e-02
828	5.624903097575328e-02
829	5.624903000546085e-02
830	5.624902904714694e-02
831	5.624902810066013e-02
832	5.624902716585078e-02
833	5.624902624257139e-02
834	5.624902533067623e-02
835	5.624902443002157e-02
836	5.624902354046549e-02
837	5.624902266186778e-02
838	5.624902179409031e-02
839	5.624902093699647e-02
840	5.624902009045157e-02
841	5.624901925432263e-02
842	5.624901842847835e-02
843	5.624901761278917e-02
844	5.624901680712713e-02
845	5.624901601136603e-02
846	5.624901522538118e-02
847	5.624901444904958e-02
848	5.624901368224979e-02
849	5.624901292486194e-02
850	5.624901217676765e-02
851	5.624901143785017e-02
852	5.624901070799418e-02
853	5.624900998708586e-02
854	5.624900927501281e-02
855	5.624900857166411e-02
856	5.624900787693037e-02
857	5.624900719070340e-02
858	5.624900651287658e-02
859	5.624900584334452e-02
860	5.624900518200329e-02
861	5.624900452875030e-02
862	5.624900388348412e-02
863	5.624900324610484e-02
864	5.624900261651368e-02
865	5.624900199461312e-02
866	5.624900138030704e-02
867	5.624900077350036e-02
868	5.624900017409938e-02
869	5.624899958201150e-02
870	5.624899899714528e-02
871	5.624899841941060e-02
872	5.624899784871832e-02
873	5.624899728498059e-02
874	5.624899672811057e-02
875	5.624899617802253e-02
876	5.624899563463195e-02
877	5.624899509785525e-02
878	5.624899456761008e-02
879	5.624899404381492e-02
880	5.624899352638950e-02
881	5.624899301525449e-02
882	5.624899251033152e-02
883	5.624899201154328e-02
884	5.624899151881350e-02
885	5.624899103206676e-02
886	5.624899055122864e-02
887	5.624899007622573e-02
888	5.624898960698552e-02
889	5.624898914343640e-02
890	5.624898868550764e-02
891	5.624898823312952e-02
892	5.624898778623307e-02
893	5.624898734475039e-02
894	5.624898690861417e-02
895	5.624898647775824e-02
896	5.624898605211702e-02
897	5.624898563162597e-02
898	5.624898521622125e-02
899	5.624898480583988e-02
900	5.624898440041960e-02
901	5.624898399989904e-02
902	5.624898360421754e-02
903	5.624898321331528e-02
904	5.624898282713313e-02
905	5.624898244561270e-02
906	5.624898206869639e-02
907	5.624898169632734e-02
908	5.624898132844935e-02
909	5.624898096500696e-02
910	5.624898060594546e-02
911	5.624898025121071e-02
912	5.624897990074937e-02
913	5.624897955450875e-02
914	5.624897921243673e-02
915	5.624897887448205e-02
916	5.624897854059385e-02
917	5.624897821072210e-02
918	5.624897788481732e-02
919	5.624897756283069e-02
920	5.624897724471397e-02
921	5.624897693041953e-02
922	5.624897661990038e-02
923	5.624897631311011e-02
924	5.624897601000280e-02
925	5.624897571053331e-02
926	5.624897541465683e-02
927	5.624897512232933e-02
928	5.624897483350719e-02
929	5.624897454814731e-02
930	5.624897426620737e-02
931	5.624897398764529e-02
932	5.624897371241969e-02
933	5.624897344048964e-02
934	5.624897317181479e-02
935	5.624897290635522e-02
936	5.624897264407154e-02
937	5.624897238492488e-02
938	5.624897212887691e-02
939	5.624897187588956e-02
940	5.624897162592553e-02
941	5.624897137894773e-02
942	5.624897113491967e-02
943	5.624897089380537e-02
944	5.624897065556917e-02
945	5.624897042017593e-02
946	5.624897018759088e-02
947	5.624896995777982e-02
948	5.624896973070882e-02
949	5.624896950634449e-02
950	5.624896928465383e-02
951	5.624896906560416e-02
952	5.624896884916338e-02
953	5.624896863529964e-02
954	5.624896842398151e-02
955	5.624896821517810e-02
956	5.624896800885869e-02
957	5.624896780499311e-02
958	5.624896760355142e-02
959	5.624896740450419e-02
